4 0:0.604732 1:3 2:9.35533 3:10.5555 4:74.563 5:3 6:3.33333 7:-218.219 8:-66.2268 9:-14.8439 10:-243.91 11:386.514 12:933.773 13:4
10 0:1.73519 1:3 2:6.18738 3:15.8699 4:112.835 5:0.909091 6:-1.71429 7:0 8:-424.211 9:-310.916 10:-47.0771 11:1000 12:152.095 13:3
4 0:1.63467 1:3 2:2.23667 3:8.21996 4:135.82 5:1.5 6:0.333333 7:0 8:-381.073 9:-1000 10:-309.252 11:1000 12:230.672 13:4
5 0:1.58958 1:3 2:5.25873 3:9.66905 4:143.019 5:-10 6:1.14286 7:-40.5616 8:-467.239 9:0 10:0 11:959.438 12:161.856 13:4
5 0:1.84317 1:3 2:6.2659 3:11.3661 4:142.296 5:0.857143 6:2.15385 7:0 8:-393.052 9:-50.7416 10:0 11:1000 12:149.493 13:4
5 0:1.6644 1:3 2:6.37168 3:10.3668 4:126.446 5:0.391304 6:1.33333 7:-16.3408 8:-389.845 9:-54.2749 10:0 11:983.659 12:210.972 13:5
4 0:1.65964 1:3 2:2.38388 3:9.5295 4:134.317 5:-7.4 6:0.5 7:0 8:-436.849 9:-1000 10:-334.943 11:1000 12:165.693 13:4
4 0:1.55504 1:3 2:2.43271 3:9.22615 4:130.943 5:-4 6:-0.6 7:0 8:-460.755 9:-998.758 10:-389.965 11:1000 12:182.315 13:4
10 0:1.44537 1:3 2:5.51435 3:13.0999 4:116.65 5:-0.5 6:26 7:-1.36193 8:-600.272 9:-299.625 10:-143.003 11:998.638 12:91.5901 13:5
10 0:1.30262 1:3 2:8.46815 3:14.6979 4:111.368 5:1.8 6:10 7:0 8:-467.06 9:-323.509 10:-237.517 11:1000 12:300.624 13:5
4 0:1.54677 1:3 2:2.38156 3:9.56546 4:133.73 5:2.8 6:0.0909091 7:-2.66383 8:-496.803 9:-1000 10:-187.533 11:997.336 12:149.707 13:2
